item_id,rule_ref,title,description
1,VE.3.2,HELMETS,"Closed-face with integral chin guard (no dirtbike helmets). Face shield integral with helmet, impact resistant material. Specification: Snell K2010, K2015, K2020, M2010, M2015, M2020-D/-R, M2025-D/-R, SA2010, SA2015, SA2020, SA2025, EA2016; or SFI 31.1/2015, 41.1/2015; or FIA 8860-2010 & newer, 8859-2015 & newer. No camera mounts: VE.2.5.3. Place sticker on left side."
2,VE.3.3.3,BALACLAVA,"Required for all drivers. Flame Resistant material. Covers head, neck and hair. No label required."
3,VE.3.3.7,ARM RESTRAINTS,"Required for all drivers. Must be commercially manufactured. No label required."
4,VE.3.3.1,DRIVERS' SUITS,"Single piece suit, no holes. Must be labeled. Specification: SFI 3.2A/5; SFI 3.4/5; FIA 1986; FIA 8856-2000 or 8856-2018."
5,VE.3.3.6,GLOVES,"Flame Resistant material (not all-leather). No holes. Leather palms allowed only over flame resistant material. No label required."
6,VE.3.3.5,SHOES,"No holes. Must be labeled. Specification: SFI 3.3; or FIA 8856-2000 or 8856-2018."
7,VE.3.3.4,SOCKS,"Flame resistant material (no cotton; no polyester). Must cover all bare skin. No label required. VE.3.1.2: Approved materials include Carbon X, Indura, Nomex, Polybenzimidazole (PBI) and Proban."
8,V.4.3.2,WET TIRES,"2.4mm min tread depth. Molded or cut by tire manufacturer. Record front and rear: Brand, Compound, Size."
9,VE.2.3,FIRE EXTINGUISHERS,"Hand-held, dry chemical (no AFFF or halon), min specification: 10BC; 1A10BC; 34B; 5A 34B; 20BE; or 1A 10BE. Min 0.9 kg (2 lb). Two required: must present both at Tech."
